price,latitude,longitude,accommodates,bathrooms,bedrooms,beds,review_scores_value,license,instant_bookable,distance_min,amenity_parking,amenity_luxurious,amenity_workspace,amenity_dryer,amenity_washer,amenity_outdoor,amenity_security,amenity_balcony_view,amenity_entertainment,amenity_family,amenity_fitness,amenity_pet_friendly,amenity_accessibility,amenities_count,is_entire_home
266.0,40.67497,-73.97796,4,2.5,2.0,2.0,4.8,True,False,3.8096393387927616,True,True,True,True,True,True,True,True,True,False,False,False,False,35,False
67.0,40.67478,-73.95165,2,1.0,1.0,1.0,4.27,False,False,5.169747204334683,True,True,True,True,False,False,False,False,False,False,False,False,False,37,True
280.0,40.71347,-73.96035,4,1.0,0.0,3.0,4.84,False,False,3.195185059911783,True,True,True,True,True,True,False,True,False,False,False,False,False,33,True
320.0,40.71345,-73.94289,6,1.0,3.0,3.0,4.81,False,False,4.636423739227865,True,True,True,True,True,True,True,False,True,True,False,False,False,60,True
120.0,40.79999,-73.96338,3,1.0,2.0,2.0,4.73,False,False,1.7055358135691334,False,False,False,True,True,False,False,False,False,False,False,False,False,25,True
425.0,40.7203,-73.98424,2,2.0,2.0,2.0,4.91,True,False,1.9055046615723477,False,False,False,True,True,False,True,False,False,False,False,False,False,26,False
296.0,40.7573,-73.91488,3,1.0,2.0,2.0,4.85,True,False,4.760913346280831,True,True,True,True,False,False,False,False,False,True,False,False,False,41,True
248.0,40.80493,-73.94999,3,1.0,1.0,2.0,4.79,True,False,2.6902994150928423,True,False,False,True,True,False,True,False,False,False,False,False,False,41,False
400.0,40.73756,-73.9535,4,1.0,1.0,2.0,4.46,True,False,2.9723241600415067,False,True,True,True,True,False,False,False,False,True,True,False,False,34,True
115.0,40.78615,-73.97394,1,2.0,2.0,1.0,4.88,False,False,0.4915965168358594,False,False,False,True,False,False,False,False,False,False,False,False,True,18,False
180.0,40.66161712766098,-73.99192061645073,2,1.0,1.0,1.0,4.77,True,False,4.957627739955358,True,True,True,True,True,False,True,False,True,True,True,False,False,58,False
400.0,40.73756,-73.9535,4,1.0,1.0,2.0,4.71,True,False,2.9723241600415067,True,True,True,True,True,False,False,False,False,True,True,False,False,36,True
400.0,40.73756,-73.9535,4,1.0,1.0,2.0,4.6,True,False,2.9723241600415067,False,True,True,True,True,False,False,False,False,True,True,False,False,36,True
400.0,40.73756,-73.9535,4,1.0,1.0,2.0,4.57,True,False,2.9723241600415067,True,True,True,True,True,False,True,False,False,True,True,False,False,33,True
400.0,40.73756,-73.9535,4,1.0,1.0,2.0,4.64,True,False,2.9723241600415067,True,True,True,True,True,False,False,False,False,True,True,False,False,28,True
400.0,40.73756,-73.9535,4,1.0,1.0,2.0,4.71,True,False,2.9723241600415067,True,True,True,True,True,False,False,False,False,True,True,False,False,31,True
400.0,40.73756,-73.9535,4,1.0,1.0,2.0,4.66,True,False,2.9723241600415067,False,True,True,True,True,False,False,False,False,True,True,False,False,30,True
381.0,40.73756,-73.9535,4,1.0,1.0,2.0,4.58,True,False,2.9723241600415067,False,True,True,True,True,False,False,True,False,True,True,False,False,27,False
400.0,40.73756,-73.9535,4,1.0,1.0,2.0,4.67,True,True,2.9723241600415067,False,True,True,True,True,False,False,True,False,True,True,False,False,29,False
389.0,40.73756,-73.9535,4,1.0,1.0,2.0,4.64,True,False,2.9723241600415067,False,True,True,True,True,False,False,False,False,True,True,False,False,24,False
192.0,40.67188,-73.95097,2,1.0,1.0,1.0,4.29,False,False,5.432656788351603,False,True,True,False,False,False,False,True,False,False,False,True,False,16,True
310.0,40.79864,-73.96209,6,1.0,2.0,5.0,4.61,False,False,1.5928722344837045,False,False,False,True,True,False,False,False,True,False,False,False,False,39,True
175.0,40.65891,-73.98556,2,1.0,1.0,1.0,4.55,False,False,5.327310133430397,True,True,True,True,False,False,True,False,False,False,False,False,False,34,True
105.0,40.68877615321917,-73.97762359693657,2,1.5,1.0,1.0,4.9,True,True,2.5209675569307675,True,False,False,True,True,True,True,True,True,False,False,False,False,47,False
220.0,40.69101,-73.95018,2,1.0,2.0,2.0,4.58,True,False,4.2895055374477185,True,True,True,True,True,False,False,True,False,False,False,False,False,40,True
193.0,40.68278,-73.95549,2,1.0,2.0,2.0,4.74,False,False,4.353938341044155,True,True,True,True,False,False,True,True,False,False,False,False,False,50,True
150.0,40.74045,-73.9749,2,1.0,1.0,1.0,4.7,False,False,1.2860652655786815,False,False,False,True,True,False,True,False,False,False,False,False,True,36,True
175.0,40.72113,-73.98213,1,1.0,1.0,1.0,4.84,False,False,2.084071747919795,False,True,True,True,True,False,True,False,False,False,True,False,True,28,False
222.0,40.71704,-74.00908,4,1.0,1.0,1.0,4.73,False,False,0.7153511005357269,True,True,True,True,True,False,False,False,True,False,False,True,True,54,True
249.0,40.79632,-73.97643,2,1.0,1.0,1.0,4.89,False,False,1.4239157198855263,True,True,True,True,True,False,True,False,True,True,False,True,True,57,True
170.0,40.719482,-73.98877,4,1.0,2.0,2.0,4.58,False,False,1.6371570212895765,False,False,False,True,False,False,False,False,False,False,False,False,False,35,True
130.0,40.66836,-73.98166,2,1.0,1.0,2.0,4.73,False,False,4.384478547826946,True,True,True,True,True,True,False,True,False,True,False,False,False,31,True
